"csu_id","trap_id","zone","year","week","trap_date","county","method","spp","total","test_code"
"BOU-00261","BC-03","BC","2024","37",2024-09-09,"BC","L","Pipiens",9,NA
"BOU-00262","BC-04","BC","2024","37",2024-09-09,"BC","L","Tarsalis",2,NA
"BOU-00263","BC-04","BC","2024","37",2024-09-09,"BC","L","Pipiens",5,NA
"BOU-00264","BC-26","BC","2024","37",2024-09-09,"BC","L","Tarsalis",3,NA
"BOU-00265","BC-26","BC","2024","37",2024-09-09,"BC","L","Pipiens",5,NA
"CSU-23102","FC-038","NE","2024","37",2024-09-09,"LC","L","Tarsalis",3,NA
"CSU-23103","FC-038","NE","2024","37",2024-09-09,"LC","L","Pipiens",2,NA
"CSU-23104","FC-034","NE","2024","37",2024-09-09,"LC","L","Tarsalis",2,NA
"CSU-23105","FC-067","NE","2024","37",2024-09-09,"LC","L","Tarsalis",6,NA
"CSU-23106","FC-067","NE","2024","37",2024-09-09,"LC","L","Pipiens",3,NA
"CSU-23107","FC-069","NE","2024","37",2024-09-09,"LC","L","Tarsalis",1,NA
"CSU-23108","FC-069","NE","2024","37",2024-09-09,"LC","L","Pipiens",2,NA
"CSU-23109","FC-040","NE","2024","37",2024-09-09,"LC","L","Tarsalis",1,NA
"CSU-23110","FC-040","NE","2024","37",2024-09-09,"LC","L","Pipiens",11,NA
"CSU-23111","FC-036","NW","2024","37",2024-09-09,"LC","L","Pipiens",8,NA
"CSU-23112","FC-040GR","NE","2024","37",2024-09-09,"LC","G","Pipiens",26,NA
"CSU-23113","FC-072","NE","2024","37",2024-09-09,"LC","L","Tarsalis",6,NA
"CSU-23114","FC-072","NE","2024","37",2024-09-09,"LC","L","Pipiens",3,NA
"CSU-23115","FC-092GR","NE","2024","37",2024-09-09,"LC","G","Pipiens",14,NA
"CSU-23116","FC-066","NE","2024","37",2024-09-09,"LC","L","Tarsalis",3,NA
"CSU-23117","FC-066","NE","2024","37",2024-09-09,"LC","L","Pipiens",50,NA
"CSU-23118","FC-066","NE","2024","37",2024-09-09,"LC","L","Pipiens",23,NA
"CSU-23119","FC-091GR","NE","2024","37",2024-09-09,"LC","G","Pipiens",3,NA
"CSU-23120","FC-019","NE","2024","37",2024-09-09,"LC","L","Pipiens",3,NA
"CSU-23121","FC-066GR","NE","2024","37",2024-09-09,"LC","G","Pipiens",3,NA
"CSU-23122","FC-014","NE","2024","37",2024-09-09,"LC","L","Tarsalis",3,NA
"CSU-23123","FC-014","NE","2024","37",2024-09-09,"LC","L","Pipiens",14,NA
"CSU-23124","FC-039","SE","2024","37",2024-09-10,"LC","L","Tarsalis",4,NA
"CSU-23125","FC-053","SE","2024","37",2024-09-10,"LC","L","Tarsalis",3,NA
"CSU-23126","FC-053","SE","2024","37",2024-09-10,"LC","L","Pipiens",6,NA
"CSU-23127","FC-064","SE","2024","37",2024-09-10,"LC","L","Tarsalis",4,NA
"CSU-23128","FC-064","SE","2024","37",2024-09-10,"LC","L","Pipiens",1,NA
"CSU-23129","FC-075","SE","2024","37",2024-09-10,"LC","L","Tarsalis",2,NA
"CSU-23130","FC-075","SE","2024","37",2024-09-10,"LC","L","Pipiens",16,NA
"CSU-23131","FC-004","SE","2024","37",2024-09-10,"LC","L","Tarsalis",4,NA
"CSU-23132","FC-004","SE","2024","37",2024-09-10,"LC","L","Pipiens",1,NA
"CSU-23133","FC-075GR","SE","2024","37",2024-09-10,"LC","G","Pipiens",8,NA
"CSU-23134","FC-027","SE","2024","37",2024-09-10,"LC","L","Tarsalis",3,NA
"CSU-23135","FC-027","SE","2024","37",2024-09-10,"LC","L","Pipiens",6,NA
"CSU-23136","FC-031","SE","2024","37",2024-09-10,"LC","L","Tarsalis",5,NA
"CSU-23137","FC-031","SE","2024","37",2024-09-10,"LC","L","Pipiens",3,NA
"CSU-23138","FC-088GR","SE","2024","37",2024-09-10,"LC","G","Pipiens",49,NA
"CSU-23139","FC-023","SE","2024","37",2024-09-10,"LC","L","Pipiens",1,NA
"CSU-23140","FC-059","SE","2024","37",2024-09-10,"LC","L","Tarsalis",2,NA
"CSU-23141","FC-059","SE","2024","37",2024-09-10,"LC","L","Pipiens",2,NA
"CSU-23142","FC-046","SE","2024","37",2024-09-10,"LC","L","Tarsalis",2,NA
"CSU-23143","FC-050","SE","2024","37",2024-09-10,"LC","L","Tarsalis",1,NA
"CSU-23144","FC-061","NW","2024","37",2024-09-11,"LC","L","Pipiens",3,NA
"CSU-23145","FC-052","NW","2024","37",2024-09-11,"LC","L","Tarsalis",1,NA
"CSU-23146","FC-052","NW","2024","37",2024-09-11,"LC","L","Pipiens",3,NA
"CSU-23147","FC-073","NW","2024","37",2024-09-11,"LC","L","Tarsalis",1,NA
"CSU-23148","FC-073","NW","2024","37",2024-09-11,"LC","L","Pipiens",3,NA
"CSU-23149","FC-041","NW","2024","37",2024-09-11,"LC","L","Pipiens",6,NA
"CSU-23150","FC-060","NW","2024","37",2024-09-11,"LC","L","Pipiens",1,NA
"CSU-23151","FC-011","NW","2024","37",2024-09-11,"LC","L","Pipiens",5,NA
"CSU-23152","FC-063","NW","2024","37",2024-09-11,"LC","L","Pipiens",1,NA
"CSU-23153","FC-090GR","NW","2024","37",2024-09-11,"LC","G","Pipiens",31,NA
"CSU-23154","FC-063GR","NW","2024","37",2024-09-11,"LC","G","Pipiens",13,NA
"CSU-23155","FC-015","NW","2024","37",2024-09-11,"LC","L","Tarsalis",2,NA
"CSU-23156","FC-015","NW","2024","37",2024-09-11,"LC","L","Pipiens",4,NA
"CSU-23157","FC-049","SW","2024","37",2024-09-11,"LC","L","Tarsalis",1,NA
"CSU-23158","FC-049","SW","2024","37",2024-09-11,"LC","L","Pipiens",4,NA
"CSU-23159","FC-001","SW","2024","37",2024-09-12,"LC","L","Tarsalis",2,NA
"CSU-23160","FC-029GR","SE","2024","37",2024-09-12,"LC","G","Pipiens",6,NA
"CSU-23161","FC-029","SE","2024","37",2024-09-12,"LC","L","Tarsalis",1,NA
"CSU-23162","FC-029","SE","2024","37",2024-09-12,"LC","L","Pipiens",3,NA
"CSU-23163","FC-068","SW","2024","37",2024-09-12,"LC","L","Tarsalis",1,NA
"CSU-23164","FC-068","SW","2024","37",2024-09-12,"LC","L","Pipiens",1,NA
"CSU-23165","FC-093","SW","2024","37",2024-09-12,"LC","L","Tarsalis",1,NA
"CSU-23166","FC-089GR","SW","2024","37",2024-09-12,"LC","G","Pipiens",10,NA
"CSU-23167","FC-037","SW","2024","37",2024-09-12,"LC","L","Tarsalis",2,NA
"CSU-23168","FC-037","SW","2024","37",2024-09-12,"LC","L","Pipiens",4,NA
